source_id,source_dataset,source_queue,source_type,source_priority,subject_es,body_es,texto,expected_area,expected_intent,expected_urgency,expected_human,expected_security_legal,expected_refund,expected_actionability,expected_technical_repro,curation_note,evaluation_split,expected_route
v5-row-001,catalog-judge/ticket-rubric-v2,pagos,reclamo,high,Cobro duplicado en la factura,La factura muestra dos cargos idénticos y solicito la devolución del cobro repetido.,"Cobro duplicado en la factura
La factura muestra dos cargos idénticos y solicito la devolución del cobro repetido.",pagos,reclamo,high,False,False,True,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-002,catalog-judge/ticket-rubric-v2,pagos,consulta,low,No entiendo un concepto de la factura,Necesito una explicación de una línea del comprobante antes de pagarlo.,"No entiendo un concepto de la factura
Necesito una explicación de una línea del comprobante antes de pagarlo.",pagos,consulta,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-003,catalog-judge/ticket-rubric-v2,pagos,solicitud,low,Actualizar datos de facturación,Solicito corregir el dato administrativo de la próxima factura antes de emitirla.,"Actualizar datos de facturación
Solicito corregir el dato administrativo de la próxima factura antes de emitirla.",pagos,solicitud,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-004,catalog-judge/ticket-rubric-v2,pagos,incidencia,medium,La cantidad facturada no coincide,El importe no coincide con el detalle de la compra y pido una revisión del desglose.,"La cantidad facturada no coincide
El importe no coincide con el detalle de la compra y pido una revisión del desglose.",pagos,incidencia,medium,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-005,catalog-judge/ticket-rubric-v2,logistica,solicitud,low,Ayuda con un pedido,"Ayúdenme con mi pedido, no indico cuál ni qué ocurrió.","Ayuda con un pedido
Ayúdenme con mi pedido, no indico cuál ni qué ocurrió.",logistica,solicitud,low,True,False,False,clarification,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-006,catalog-judge/ticket-rubric-v2,logistica,incidencia,high,Paquete detenido en almacén,El paquete lleva una semana en el almacén y no avanza a reparto.,"Paquete detenido en almacén
El paquete lleva una semana en el almacén y no avanza a reparto.",logistica,incidencia,high,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-007,catalog-judge/ticket-rubric-v2,logistica,solicitud,medium,Cambio de dirección de entrega,Quiero cambiar la dirección de un envío que aún no sale.,"Cambio de dirección de entrega
Quiero cambiar la dirección de un envío que aún no sale.",logistica,solicitud,medium,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-008,catalog-judge/ticket-rubric-v2,logistica,reclamo,high,Faltó un componente en la entrega,Llegó el pedido incompleto y solicito que completen la entrega del componente faltante.,"Faltó un componente en la entrega
Llegó el pedido incompleto y solicito que completen la entrega del componente faltante.",logistica,reclamo,high,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-009,catalog-judge/ticket-rubric-v2,tecnologia,incidencia,medium,La app se cierra al exportar,Al pulsar exportar la aplicación se cierra. Ocurre siempre en el tercer paso y muestra error 500.,"La app se cierra al exportar
Al pulsar exportar la aplicación se cierra. Ocurre siempre en el tercer paso y muestra error 500.",tecnologia,incidencia,medium,False,False,False,standard_action,True,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-010,catalog-judge/ticket-rubric-v2,tecnologia,incidencia,low,La aplicación no funciona,La app no funciona.,"La aplicación no funciona
La app no funciona.",tecnologia,incidencia,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-011,catalog-judge/ticket-rubric-v2,tecnologia,incidencia,medium,Error al iniciar sesión,"El inicio de sesión falla con un mensaje genérico, sin acceso indebido ni fraude.","Error al iniciar sesión
El inicio de sesión falla con un mensaje genérico, sin acceso indebido ni fraude.",tecnologia,incidencia,medium,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-012,catalog-judge/ticket-rubric-v2,seguridad,incidencia,critical,Acceso no autorizado a la cuenta,Detecté un acceso no autorizado y necesito una revisión de seguridad hoy.,"Acceso no autorizado a la cuenta
Detecté un acceso no autorizado y necesito una revisión de seguridad hoy.",seguridad,incidencia,critical,True,True,False,immediate_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-013,catalog-judge/ticket-rubric-v2,seguridad,reclamo,critical,Alguien usó mis credenciales,Alguien usó mis credenciales sin permiso y pidió un cambio de clave.,"Alguien usó mis credenciales
Alguien usó mis credenciales sin permiso y pidió un cambio de clave.",seguridad,reclamo,critical,True,True,False,immediate_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-014,catalog-judge/ticket-rubric-v2,tecnologia,solicitud,medium,Enlace para restablecer contraseña,¿Pueden enviarme el enlace para restablecer la contraseña de la cuenta?,"Enlace para restablecer contraseña
¿Pueden enviarme el enlace para restablecer la contraseña de la cuenta?",tecnologia,solicitud,medium,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-015,catalog-judge/ticket-rubric-v2,ventas,reclamo,medium,El precio no coincide con la propuesta,El precio cotizado no coincide con la propuesta comercial que acepté.,"El precio no coincide con la propuesta
El precio cotizado no coincide con la propuesta comercial que acepté.",ventas,reclamo,medium,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-016,catalog-judge/ticket-rubric-v2,ventas,solicitud,low,Pido una cotización nueva,Pido una cotización para una compra nueva de tres unidades del mismo ítem.,"Pido una cotización nueva
Pido una cotización para una compra nueva de tres unidades del mismo ítem.",ventas,solicitud,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-017,catalog-judge/ticket-rubric-v2,tecnologia,consulta,low,¿Es compatible esta configuración?,"Antes de conectar, ¿esta configuración es compatible con el servicio contratado?","¿Es compatible esta configuración?
Antes de conectar, ¿esta configuración es compatible con el servicio contratado?",tecnologia,consulta,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-018,catalog-judge/ticket-rubric-v2,tecnologia,retroalimentacion,low,Sugiero un modo oscuro,"Sugiero agregar un modo oscuro en la interfaz, no hay un fallo.","Sugiero un modo oscuro
Sugiero agregar un modo oscuro en la interfaz, no hay un fallo.",tecnologia,retroalimentacion,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-019,catalog-judge/ticket-rubric-v2,atencion_cliente,consulta,low,Estado de un caso anterior,"Quiero el estado de mi caso anterior de atención, el de la semana pasada.","Estado de un caso anterior
Quiero el estado de mi caso anterior de atención, el de la semana pasada.",atencion_cliente,consulta,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-020,catalog-judge/ticket-rubric-v2,rrhh,consulta,low,Consulta sobre contratación,Tengo una pregunta sobre el proceso de contratación del área de personas.,"Consulta sobre contratación
Tengo una pregunta sobre el proceso de contratación del área de personas.",rrhh,consulta,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-021,catalog-judge/ticket-rubric-v2,atencion_cliente,consulta,low,No sé qué producto contraté,Escribo para pedir ayuda pero no recuerdo qué producto ni qué cuenta es.,"No sé qué producto contraté
Escribo para pedir ayuda pero no recuerdo qué producto ni qué cuenta es.",atencion_cliente,consulta,low,True,False,False,clarification,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-022,catalog-judge/ticket-rubric-v2,logistica,solicitud,high,Instrucciones opuestas en el mismo mensaje,"Cancelen el pedido y al mismo tiempo envíenlo hoy a la misma dirección, no sé cuál instrucción rige.","Instrucciones opuestas en el mismo mensaje
Cancelen el pedido y al mismo tiempo envíenlo hoy a la misma dirección, no sé cuál instrucción rige.",logistica,solicitud,high,True,False,False,clarification,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-023,catalog-judge/ticket-rubric-v2,pagos,solicitud,medium,Reembolso ya aceptado: siguiente paso,La devolución ya fue aceptada; ¿cuál es el siguiente paso del reembolso?,"Reembolso ya aceptado: siguiente paso
La devolución ya fue aceptada; ¿cuál es el siguiente paso del reembolso?",pagos,solicitud,medium,False,False,True,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-024,catalog-judge/ticket-rubric-v2,atencion_cliente,consulta,low,¿Qué opciones tengo?,"No estoy conforme con el resultado y pregunto qué opciones hay, sin pedir aún un reembolso.","¿Qué opciones tengo?
No estoy conforme con el resultado y pregunto qué opciones hay, sin pedir aún un reembolso.",atencion_cliente,consulta,low,False,False,False,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,accept
v5-row-025,catalog-judge/ticket-rubric-v2,atencion_cliente,retroalimentacion,low,Gracias por la atención,"Gracias, todo estuvo bien.","Gracias por la atención
Gracias, todo estuvo bien.",atencion_cliente,retroalimentacion,low,False,False,False,no_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-026,catalog-judge/ticket-rubric-v2,pagos,reclamo,high,Cargo que no reconozco,Aparece un cargo adicional que no reconozco y solicito revisión del cobro.,"Cargo que no reconozco
Aparece un cargo adicional que no reconozco y solicito revisión del cobro.",pagos,reclamo,high,False,False,True,standard_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
v5-row-027,catalog-judge/ticket-rubric-v2,logistica,incidencia,high,Entrega que bloquea un compromiso hoy,La entrega de hoy no llegó y bloquea un compromiso con un cliente en la tarde.,"Entrega que bloquea un compromiso hoy
La entrega de hoy no llegó y bloquea un compromiso con un cliente en la tarde.",logistica,incidencia,high,False,False,False,immediate_action,False,Texto nuevo rubricado con ticket-rubric-v2; confirmation v5; no es el lote v4.,confirmation,review
